month,region,product,sales,profit
2026-01,华东,手机,120000,24000
2026-01,华东,电脑,80000,16000
2026-01,华东,配件,30000,9000
2026-01,华南,手机,95000,19000
2026-01,华南,电脑,65000,13000
2026-01,华南,配件,22000,6600
2026-02,华东,手机,135000,27000
2026-02,华东,电脑,85000,17000
2026-02,华东,配件,32000,9600
2026-02,华南,手机,105000,21000
2026-02,华南,电脑,70000,14000
2026-02,华南,配件,25000,7500
2026-03,华东,手机,150000,30000
2026-03,华东,电脑,90000,18000
2026-03,华东,配件,35000,10500
2026-03,华南,手机,120000,24000
2026-03,华南,电脑,78000,15600
2026-03,华南,配件,28000,8400
